measure,location,sex,age,cause,metric,year,val,upper,lower
YLDs (Years Lived with Disability),Alaska,Both,All ages,Anxiety disorders,Number,2013,361.7423349729670,785.3317363178900,114.28310388043400
YLDs (Years Lived with Disability),Alaska,Both,All ages,Anxiety disorders,Number,2014,354.25522765429800,783.3097585682110,110.73587584106100
YLDs (Years Lived with Disability),Alaska,Both,All ages,Anxiety disorders,Number,2015,351.1399879574740,777.3819524563020,109.40125725891000
YLDs (Years Lived with Disability),Alaska,Both,All ages,Anxiety disorders,Number,2016,355.16019142089000,783.7047122161570,108.52907906839100
YLDs (Years Lived with Disability),Alaska,Both,All ages,Anxiety disorders,Number,2017,364.3281520265390,798.2161698683660,110.75952788633600
YLDs (Years Lived with Disability),Alaska,Both,All ages,Anxiety disorders,Number,2018,371.4779629707610,821.6258996559820,109.7100994075480
YLDs (Years Lived with Disability),Alaska,Both,All ages,Anxiety disorders,Number,2019,371.93157995099500,834.0372172883000,107.24795161667300
YLDs (Years Lived with Disability),Alaska,Both,All ages,Anxiety disorders,Number,2020,365.36064535253,822.0510372724410,104.31598405646100
YLDs (Years Lived with Disability),Alaska,Both,All ages,Anxiety disorders,Number,2021,364.0775705227550,815.628712191969,106.63953744495400
YLDs (Years Lived with Disability),Alabama,Both,All ages,Depressive disorders,Number,1990,7204.878768696750,11264.940944095900,3820.469141979900
YLDs (Years Lived with Disability),Alabama,Both,All ages,Depressive disorders,Number,1991,7584.821619587530,11930.447558064800,4059.277573145350
YLDs (Years Lived with Disability),Alabama,Both,All ages,Depressive disorders,Number,1992,7951.643616909740,12387.418436542100,4215.911219494010
YLDs (Years Lived with Disability),Alabama,Both,All ages,Depressive disorders,Number,1993,8305.202691488190,12961.262363224500,4450.993456774340
YLDs (Years Lived with Disability),Alabama,Both,All ages,Depressive disorders,Number,1994,8643.755014678090,13448.135724348700,4605.872269155230
YLDs (Years Lived with Disability),Alabama,Both,All ages,Depressive disorders,Number,1995,8941.27483954686,14164.47033053450,4757.387961302120
YLDs (Years Lived with Disability),Alabama,Both,All ages,Depressive disorders,Number,1996,9323.964334505850,14663.957790736000,4964.551031338940
YLDs (Years Lived with Disability),Alabama,Both,All ages,Depressive disorders,Number,1997,9813.324074682920,15363.264774481200,5149.232353294920
YLDs (Years Lived with Disability),Alabama,Both,All ages,Depressive disorders,Number,1998,10325.610481302800,16156.580761206400,5390.379434054930
YLDs (Years Lived with Disability),Alabama,Both,All ages,Depressive disorders,Number,1999,10760.861969714700,16730.603171839100,5652.682449262810
YLDs (Years Lived with Disability),Alabama,Both,All ages,Depressive disorders,Number,2000,10988.926221300800,17107.786534833300,5807.567257635120
YLDs (Years Lived with Disability),Alabama,Both,All ages,Depressive disorders,Number,2001,11058.45556638870,17196.65459294130,5836.305201100170
YLDs (Years Lived with Disability),Alabama,Both,All ages,Depressive disorders,Number,2002,11094.967085024900,17190.237121418600,5904.070015322350
YLDs (Years Lived with Disability),Alabama,Both,All ages,Depressive disorders,Number,2003,11103.925815158800,17148.410082670300,5978.241311682150
YLDs (Years Lived with Disability),Alabama,Both,All ages,Depressive disorders,Number,2004,11134.723076170100,17124.198861857500,6013.000547662780
YLDs (Years Lived with Disability),Alabama,Both,All ages,Depressive disorders,Number,2005,11203.44014799530,17279.411379147600,6144.424832217650
YLDs (Years Lived with Disability),Alabama,Both,All ages,Depressive disorders,Number,2006,11304.812051834500,17180.609498884900,6189.611327419440
YLDs (Years Lived with Disability),Alabama,Both,All ages,Depressive disorders,Number,2007,11453.720607239500,17376.74888645080,6355.2856491784800
YLDs (Years Lived with Disability),Alabama,Both,All ages,Depressive disorders,Number,2008,11591.485914398400,17533.920080290200,6400.989098008300
YLDs (Years Lived with Disability),Alabama,Both,All ages,Depressive disorders,Number,2009,11720.798244549400,17937.44283902270,6566.235933829930
YLDs (Years Lived with Disability),Alabama,Both,All ages,Depressive disorders,Number,2010,11785.595944391700,17998.363126919600,6683.372875990180
YLDs (Years Lived with Disability),Alabama,Both,All ages,Depressive disorders,Number,2011,11727.955687241800,17696.87483877120,6612.210064982110
YLDs (Years Lived with Disability),Alabama,Both,All ages,Depressive disorders,Number,2012,11552.771560439300,17519.551965286200,6363.112990893290
YLDs (Years Lived with Disability),Alabama,Both,All ages,Depressive disorders,Number,2013,11322.666349661500,16867.829513384700,6260.021580981440
YLDs (Years Lived with Disability),Alabama,Both,All ages,Depressive disorders,Number,2014,11134.046803108600,16818.788097443000,6094.248812428730
YLDs (Years Lived with Disability),Alabama,Both,All ages,Depressive disorders,Number,2015,11041.048145742800,16924.44653346030,6129.58479112725
YLDs (Years Lived with Disability),Alabama,Both,All ages,Depressive disorders,Number,2016,11030.064930832200,16498.392814803500,6087.578853169720
YLDs (Years Lived with Disability),Alabama,Both,All ages,Depressive disorders,Number,2017,11044.724637151300,16656.7507895573,6095.465314710840
YLDs (Years Lived with Disability),Alabama,Both,All ages,Depressive disorders,Number,2018,11053.78099262330,16486.879093953100,6086.874040158550
YLDs (Years Lived with Disability),Alabama,Both,All ages,Depressive disorders,Number,2019,11092.95075826190,16570.324789548700,6044.777612843880
YLDs (Years Lived with Disability),Alabama,Both,All ages,Depressive disorders,Number,2020,12052.76502710250,18501.2773836032,6568.412581546070
YLDs (Years Lived with Disability),Alabama,Both,All ages,Depressive disorders,Number,2021,12073.345793379700,18666.57494543990,6498.666562826840
YLDs (Years Lived with Disability),Arizona,Both,All ages,Anxiety disorders,Number,1990,1386.89453324307,3145.8884809530400,378.4679425636910
YLDs (Years Lived with Disability),Arizona,Both,All ages,Anxiety disorders,Number,1991,1427.3152038301800,3226.438188028360,389.40178624357700
YLDs (Years Lived with Disability),Arizona,Both,All ages,Anxiety disorders,Number,1992,1473.7429844096000,3352.7793874254900,407.9175335049260
YLDs (Years Lived with Disability),Arizona,Both,All ages,Anxiety disorders,Number,1993,1526.624120131450,3399.0371228831700,419.2656201490250
YLDs (Years Lived with Disability),Arizona,Both,All ages,Anxiety disorders,Number,1994,1585.5097626138500,3579.4812929492200,446.6519508821860
YLDs (Years Lived with Disability),Arizona,Both,All ages,Anxiety disorders,Number,1995,1652.2715049148400,3699.065778553780,476.6032236679300
YLDs (Years Lived with Disability),Arizona,Both,All ages,Anxiety disorders,Number,1996,1771.9655703011100,3959.930298038910,522.1854642943580
YLDs (Years Lived with Disability),Arizona,Both,All ages,Anxiety disorders,Number,1997,1961.543326131940,4360.693264285550,573.3382112165420
YLDs (Years Lived with Disability),Arizona,Both,All ages,Anxiety disorders,Number,1998,2177.1513765932000,4895.838537845000,636.4836717194080
YLDs (Years Lived with Disability),Arizona,Both,All ages,Anxiety disorders,Number,1999,2383.6588312206500,5353.777539025030,711.1862661439490
YLDs (Years Lived with Disability),Arizona,Both,All ages,Anxiety disorders,Number,2000,2526.18219278947,5716.456921944860,760.4878952983370
YLDs (Years Lived with Disability),Arizona,Both,All ages,Anxiety disorders,Number,2001,2607.8296830149700,5818.068340293560,792.4128689799690
YLDs (Years Lived with Disability),Arizona,Both,All ages,Anxiety disorders,Number,2002,2661.7901507287300,5903.4558413188400,830.1659151102090
YLDs (Years Lived with Disability),Arizona,Both,All ages,Anxiety disorders,Number,2003,2699.6861355559100,5971.381337033610,856.0937951996740
YLDs (Years Lived with Disability),Arizona,Both,All ages,Anxiety disorders,Number,2004,2731.70505060798,6020.587913269680,864.3967294529900
YLDs (Years Lived with Disability),Arizona,Both,All ages,Anxiety disorders,Number,2005,2775.726116663570,6077.684296137520,885.9605351920090
YLDs (Years Lived with Disability),Arizona,Both,All ages,Anxiety disorders,Number,2006,2844.1753707599600,6223.113359250410,913.9935131485530
YLDs (Years Lived with Disability),Arizona,Both,All ages,Anxiety disorders,Number,2007,2926.6541943945100,6377.100324189110,953.2022612085470
YLDs (Years Lived with Disability),Arizona,Both,All ages,Anxiety disorders,Number,2008,3004.282052319060,6560.868875552770,974.1765465490550
YLDs (Years Lived with Disability),Arizona,Both,All ages,Anxiety disorders,Number,2009,3084.028918086970,6636.712309858040,1004.204524803570
YLDs (Years Lived with Disability),Arizona,Both,All ages,Anxiety disorders,Number,2010,3136.291696712150,6717.708567637040,1020.0770097011700
YLDs (Years Lived with Disability),Arizona,Both,All ages,Anxiety disorders,Number,2011,3151.3660909329000,6794.401825806450,1025.4891607737200
YLDs (Years Lived with Disability),Arizona,Both,All ages,Anxiety disorders,Number,2012,3133.578087238260,6786.90052047722,995.9260572221060
YLDs (Years Lived with Disability),Arizona,Both,All ages,Anxiety disorders,Number,2013,3096.258850585140,6718.935747806270,1002.0519946576200
YLDs (Years Lived with Disability),Arizona,Both,All ages,Anxiety disorders,Number,2014,3078.4170417000000,6596.764504635160,994.6738782991990
YLDs (Years Lived with Disability),Arizona,Both,All ages,Anxiety disorders,Number,2015,3092.4283688620200,6655.472879800280,979.1015511885440
YLDs (Years Lived with Disability),Arizona,Both,All ages,Anxiety disorders,Number,2016,3176.23294648966,6848.046753381780,1005.244187599840
YLDs (Years Lived with Disability),Arizona,Both,All ages,Anxiety disorders,Number,2017,3294.6817316775400,7134.86401573299,1048.7743402432300
YLDs (Years Lived with Disability),Arizona,Both,All ages,Anxiety disorders,Number,2018,3407.465445679310,7575.510020937200,1068.237837800700
YLDs (Years Lived with Disability),Arizona,Both,All ages,Anxiety disorders,Number,2019,3457.413864525580,7788.547149433110,1061.524506861020
YLDs (Years Lived with Disability),Arizona,Both,All ages,Anxiety disorders,Number,2020,3427.4615430689900,7712.790661974790,1034.6426357919400
YLDs (Years Lived with Disability),Arizona,Both,All ages,Anxiety disorders,Number,2021,3447.979390912670,7709.608516198630,1038.9590406664400
YLDs (Years Lived with Disability),Arkansas,Both,All ages,Anxiety disorders,Number,1990,846.7525001284970,1903.9130167670500,242.74566941447800
YLDs (Years Lived with Disability),Arkansas,Both,All ages,Anxiety disorders,Number,1991,852.029841690611,1922.8964706927700,250.3772293659550
YLDs (Years Lived with Disability),Arkansas,Both,All ages,Anxiety disorders,Number,1992,860.46526869542,1952.068176763430,251.3114375188990
YLDs (Years Lived with Disability),Arkansas,Both,All ages,Anxiety disorders,Number,1993,871.071982892277,1977.779411695170,253.54145203312100
YLDs (Years Lived with Disability),Arkansas,Both,All ages,Anxiety disorders,Number,1994,886.8560132051830,1996.414280858720,256.1010439708000
YLDs (Years Lived with Disability),Arkansas,Both,All ages,Anxiety disorders,Number,1995,906.8352726113250,2048.1821780099400,266.41133730104900
YLDs (Years Lived with Disability),Arkansas,Both,All ages,Anxiety disorders,Number,1996,952.7945685831480,2133.258270539570,283.2194024204640
YLDs (Years Lived with Disability),Arkansas,Both,All ages,Anxiety disorders,Number,1997,1031.348011290130,2324.6244573253000,306.95726889744100
YLDs (Years Lived with Disability),Arkansas,Both,All ages,Anxiety disorders,Number,1998,1124.2676423336700,2526.79064765375,331.8952014298380
YLDs (Years Lived with Disability),Arkansas,Both,All ages,Anxiety disorders,Number,1999,1207.9133958246300,2703.4223270775000,360.1499433735260
YLDs (Years Lived with Disability),Arkansas,Both,All ages,Anxiety disorders,Number,2000,1262.1310928976300,2849.647395123150,375.9766951046140
YLDs (Years Lived with Disability),Arkansas,Both,All ages,Anxiety disorders,Number,2001,1285.6452623931000,2882.6155540515800,385.1293550551420
YLDs (Years Lived with Disability),Arkansas,Both,All ages,Anxiety disorders,Number,2002,1293.2740192162700,2881.7088572471400,398.0860026677140
YLDs (Years Lived with Disability),Arkansas,Both,All ages,Anxiety disorders,Number,2003,1296.1285708286700,2869.7438764429700,401.19038188228200
YLDs (Years Lived with Disability),Arkansas,Both,All ages,Anxiety disorders,Number,2004,1294.929288748070,2825.388240544540,393.8776502157880
YLDs (Years Lived with Disability),Arkansas,Both,All ages,Anxiety disorders,Number,2005,1300.2445732895100,2851.928019398550,405.0104248863720
YLDs (Years Lived with Disability),Arkansas,Both,All ages,Anxiety disorders,Number,2006,1316.3736871470200,2898.81086697288,417.4462797527600
YLDs (Years Lived with Disability),Arkansas,Both,All ages,Anxiety disorders,Number,2007,1340.6588324729000,2920.83089291273,424.07709998620800
YLDs (Years Lived with Disability),Arkansas,Both,All ages,Anxiety disorders,Number,2008,1359.566827700870,2954.19759048532,440.08751606869700
YLDs (Years Lived with Disability),Arkansas,Both,All ages,Anxiety disorders,Number,2009,1374.6066351567200,2972.66573234656,454.4799580905910
YLDs (Years Lived with Disability),Arkansas,Both,All ages,Anxiety disorders,Number,2010,1386.4929941712400,3038.484562070700,460.3495108102740
YLDs (Years Lived with Disability),Arkansas,Both,All ages,Anxiety disorders,Number,2011,1379.2765082893200,3003.300927448640,453.2304884944590
YLDs (Years Lived with Disability),Arkansas,Both,All ages,Anxiety disorders,Number,2012,1358.4204201325100,2901.3844919492000,443.9890287953620
YLDs (Years Lived with Disability),Arkansas,Both,All ages,Anxiety disorders,Number,2013,1328.640596759980,2874.766631698050,427.15629021645100
YLDs (Years Lived with Disability),Arkansas,Both,All ages,Anxiety disorders,Number,2014,1307.9140194425200,2839.935275702600,418.49529900318700
YLDs (Years Lived with Disability),Arkansas,Both,All ages,Anxiety disorders,Number,2015,1303.223914897240,2805.6001984795300,410.9759405612210
YLDs (Years Lived with Disability),Arkansas,Both,All ages,Anxiety disorders,Number,2016,1324.7984344642300,2849.7591339146300,408.5091448868130
YLDs (Years Lived with Disability),Arkansas,Both,All ages,Anxiety disorders,Number,2017,1362.8116079771800,2932.707370608090,420.4470725431750
YLDs (Years Lived with Disability),Arkansas,Both,All ages,Anxiety disorders,Number,2018,1401.2632869619700,3071.107488847110,427.07051652638200
YLDs (Years Lived with Disability),Arkansas,Both,All ages,Anxiety disorders,Number,2019,1412.1798890678000,3084.004378101940,431.3545513729600
YLDs (Years Lived with Disability),Arkansas,Both,All ages,Anxiety disorders,Number,2020,1393.2391507488600,3079.057796270960,415.52718134183900
YLDs (Years Lived with Disability),Arkansas,Both,All ages,Anxiety disorders,Number,2021,1392.3012061470400,3067.9209961967700,422.0470485214670
YLDs (Years Lived with Disability),Alaska,Both,All ages,Depressive disorders,Number,1990,741.383094655511,1253.9965059986300,336.9536215419200
YLDs (Years Lived with Disability),Alaska,Both,All ages,Depressive disorders,Number,1991,797.8042302115470,1351.695156362450,363.3096926449230
YLDs (Years Lived with Disability),Alaska,Both,All ages,Depressive disorders,Number,1992,851.9786421648180,1441.2125221786600,383.469373974738
YLDs (Years Lived with Disability),Alaska,Both,All ages,Depressive disorders,Number,1993,901.5736533212410,1524.0541766171100,410.539838820538
YLDs (Years Lived with Disability),Alaska,Both,All ages,Depressive disorders,Number,1994,949.2911038236120,1593.039221194650,430.1542485251760
YLDs (Years Lived with Disability),Alaska,Both,All ages,Depressive disorders,Number,1995,990.0775112739630,1669.3447440741100,449.4106382649540
YLDs (Years Lived with Disability),Alaska,Both,All ages,Depressive disorders,Number,1996,1038.4331454986300,1728.735815713330,475.2419705360490
YLDs (Years Lived with Disability),Alaska,Both,All ages,Depressive disorders,Number,1997,1095.1754938381400,1815.166176558960,502.3086662240890
YLDs (Years Lived with Disability),Alaska,Both,All ages,Depressive disorders,Number,1998,1155.966646588160,1933.818638286960,529.0939490520360
YLDs (Years Lived with Disability),Alaska,Both,All ages,Depressive disorders,Number,1999,1211.1353434615900,2007.6653990150500,556.0775854937760
YLDs (Years Lived with Disability),Alaska,Both,All ages,Depressive disorders,Number,2000,1249.9718868374600,2064.0250598442300,576.4594361751290
YLDs (Years Lived with Disability),Alaska,Both,All ages,Depressive disorders,Number,2001,1276.1241263932900,2117.932914004620,599.187198192654
YLDs (Years Lived with Disability),Alaska,Both,All ages,Depressive disorders,Number,2002,1298.889963802180,2114.648041576370,607.2376493807710
YLDs (Years Lived with Disability),Alaska,Both,All ages,Depressive disorders,Number,2003,1318.8145247578500,2143.274618387090,626.2360285564690
YLDs (Years Lived with Disability),Alaska,Both,All ages,Depressive disorders,Number,2004,1340.0634990861700,2184.0705880657900,632.4015563326920
YLDs (Years Lived with Disability),Alaska,Both,All ages,Depressive disorders,Number,2005,1363.1975667229100,2224.9026874711000,643.6110918070120
YLDs (Years Lived with Disability),Alaska,Both,All ages,Depressive disorders,Number,2006,1391.4914458612500,2271.8802746843900,657.145815867799
YLDs (Years Lived with Disability),Alaska,Both,All ages,Depressive disorders,Number,2007,1422.0212527766600,2319.55848838246,680.5577429787570
YLDs (Years Lived with Disability),Alaska,Both,All ages,Depressive disorders,Number,2008,1450.066650545460,2366.0190659986300,702.4874079551580
YLDs (Years Lived with Disability),Alaska,Both,All ages,Depressive disorders,Number,2009,1473.9473474854800,2405.305115028100,715.6991730843480
YLDs (Years Lived with Disability),Alaska,Both,All ages,Depressive disorders,Number,2010,1487.4519962716200,2462.821295308640,722.8755176996140
YLDs (Years Lived with Disability),Alaska,Both,All ages,Depressive disorders,Number,2011,1482.2930363688800,2421.943947578910,729.8862480992540
YLDs (Years Lived with Disability),Alaska,Both,All ages,Depressive disorders,Number,2012,1457.940668397630,2376.245513109810,728.5145563839990
YLDs (Years Lived with Disability),Alaska,Both,All ages,Depressive disorders,Number,2013,1423.620079108770,2324.472852974680,708.3385586800470
YLDs (Years Lived with Disability),Alaska,Both,All ages,Depressive disorders,Number,2014,1392.9716116321500,2272.8611749705700,691.5863308642960
YLDs (Years Lived with Disability),Alaska,Both,All ages,Depressive disorders,Number,2015,1369.7803948381200,2232.09301131965,678.8540100005410
YLDs (Years Lived with Disability),Alaska,Both,All ages,Depressive disorders,Number,2016,1359.1780351051100,2197.1157534221,661.5273225247740
YLDs (Years Lived with Disability),Alaska,Both,All ages,Depressive disorders,Number,2017,1347.8061060604400,2167.9811426287900,660.9602335950100
YLDs (Years Lived with Disability),Alaska,Both,All ages,Depressive disorders,Number,2018,1339.0990436015200,2177.3354859124900,672.243181642056
YLDs (Years Lived with Disability),Alaska,Both,All ages,Depressive disorders,Number,2019,1332.5883547855000,2169.3164056215500,654.3410726163910
YLDs (Years Lived with Disability),Alaska,Both,All ages,Depressive disorders,Number,2020,1437.6438450193000,2371.1241203844200,688.8984191123630
YLDs (Years Lived with Disability),Alaska,Both,All ages,Depressive disorders,Number,2021,1412.3120798423800,2350.9223889090800,677.2987413675840
YLDs (Years Lived with Disability),California,Both,All ages,Anxiety disorders,Number,1990,11769.222641230800,26879.965906162200,3203.1560990183100
YLDs (Years Lived with Disability),California,Both,All ages,Anxiety disorders,Number,1991,11916.754727960800,27705.78141517880,3279.1467149752500
YLDs (Years Lived with Disability),California,Both,All ages,Anxiety disorders,Number,1992,12052.187038760800,27641.213930488800,3347.3018392341200
YLDs (Years Lived with Disability),California,Both,All ages,Anxiety disorders,Number,1993,12199.155469972000,27845.43721730940,3328.57729727484
YLDs (Years Lived with Disability),California,Both,All ages,Anxiety disorders,Number,1994,12394.616956435500,28769.44478884760,3461.077367692380
YLDs (Years Lived with Disability),California,Both,All ages,Anxiety disorders,Number,1995,12606.528582212300,29479.831065998400,3571.654962979000
YLDs (Years Lived with Disability),California,Both,All ages,Anxiety disorders,Number,1996,13162.738272794400,30623.13982245210,3757.086213882380
YLDs (Years Lived with Disability),California,Both,All ages,Anxiety disorders,Number,1997,14152.851889435100,32751.329178355900,4094.11596229248
YLDs (Years Lived with Disability),California,Both,All ages,Anxiety disorders,Number,1998,15272.623410564400,34991.6358022801,4423.974473754920
YLDs (Years Lived with Disability),California,Both,All ages,Anxiety disorders,Number,1999,16334.76417650480,37119.20068231100,4664.16074367362
YLDs (Years Lived with Disability),California,Both,All ages,Anxiety disorders,Number,2000,16944.141855843400,37757.71541676600,4937.015481973240
YLDs (Years Lived with Disability),California,Both,All ages,Anxiety disorders,Number,2001,17231.189064185000,38652.893655647600,5055.611917702000
YLDs (Years Lived with Disability),California,Both,All ages,Anxiety disorders,Number,2002,17372.322530420700,38445.16732448760,5280.377185453570
YLDs (Years Lived with Disability),California,Both,All ages,Anxiety disorders,Number,2003,17453.720611130500,39224.52971326480,5313.547901785270
YLDs (Years Lived with Disability),California,Both,All ages,Anxiety disorders,Number,2004,17550.213503334100,38797.79471857810,5305.98610001903
YLDs (Years Lived with Disability),California,Both,All ages,Anxiety disorders,Number,2005,17686.78739290090,39068.30470685870,5341.792555947570
YLDs (Years Lived with Disability),California,Both,All ages,Anxiety disorders,Number,2006,17968.506077597400,39840.30959164420,5553.790020885190
YLDs (Years Lived with Disability),California,Both,All ages,Anxiety disorders,Number,2007,18332.6820700308,39706.48863078770,5736.565659175120
